gene_symbol_official,gene_symbol_fullname,count,idlist,Input Symbol,Official Symbol,Entrez Gene ID,Gene Name
MIR574,microrna 574,3,"['36705303', '34134589', '32090367']",MIR574,MIR574,693159,microRNA 574
PRDX6,peroxiredoxin 6,4,"['38349117', '30683539', '26473437', '19695163']",PRDX6,PRDX6,9588,peroxiredoxin 6
CD3D,CD3,8,"['39377750', '37478215', '37017187', '36199375', '35190763', '33448176', '25557485', '20133891']",CD3D,CD3D,915,CD3 delta subunit of T-cell receptor complex
FN1,fibronectin 1,5,"['40021981', '38727856', '25862970', '24267292', '3652396']",FN1,FN1,2335,fibronectin 1
NLRP12,nlr family pyrin domain containing 12,5,"['38695539', '35764614', '29967962', '28550722', '24453977']",NLRP12,NLRP12,91662,NLR family pyrin domain containing 12
C2,complement c2,116,"['40247231', '39658728', '38355632', '37744365', '37533351', '36870812', '35862803', '35843591', '35733092', '35544167', '35265995', '34935445', '34935444', '34372609', '33862114', '33723331', '33165540', '32947475', '32942894', '32423949', '31859761', '31701142', '31434472', '31312006', '30642926', '30627341', '30429339', '29384504', '29346424', '29263349', '29253152', '29142136', '28988665', '27052333', '26542649', '26085162', '25636579', '25454804', '25311404', '25266956', '25046960', '24631081', '23800256', '23384839', '23352513', '23090105', '22970186', '21124203', '20739126', '20065024', '19642494', '19318826', '19193209', '19051336', '18382384', '17458946', '17444953', '16846480', '16785571', '16723059', '16324361', '15836819', '15490836', '15322019', '15097441', '14717968', '14662974', '12874245', '12794146', '12411147', '12362234', '12099342', '11705901', '11349051', '11227345', '10585818', '10223705', '9869543', '9722078', '9718879', '9631136', '9616367', '9597242', '9587358', '9422484', '9420266', '9333062', '8989832', '8727914', '8690912', '11362309', '7660072', '7946099', '8195383', '7683640', '1786654', '1904718', '2062782', '2002233', '2160074', '2706954', '3373003', '3693550', '3658535', '3826129', '3818927', '3635565', '3700635', '6490840', '7149824', '6211117', '7011058', '661928', '666383', '666370', '47148']",C2,C2,717,complement C2
KLRG1,killer cell lectin like receptor g1,9,"['40120236', '39817772', '39294340', '38551350', '37626844', '36880832', '29237456', '21039472', '19651871']",KLRG1,KLRG1,10219,killer cell lectin like receptor G1
GPX4,glutathione peroxidase 4,99,"['40367688', '40264754', '40259237', '40246251', '40216133', '40209319', '40156957', '40139420', '40138726', '40119983', '40106902', '40010556', '39945893', '39855747', '39800248', '39749958', '39713961', '39609781', '39581576', '39566666', '39549609', '39512683', '39505349', '39400418', '39396639', '39396427', '39344139', '39326685', '39284557', '39278847', '39196520', '39181287', '39153053', '39147013', '39068603', '39019361', '38845495', '38842666', '38837857', '38822984', '38776851', '38685023', '38484667', '38478853', '38423372', '38224757', '38169213', '38159178', '38149613', '38104369', '38103342', '38063103', '38048858', '38030060', '38000722', '37987130', '37983962', '37926174', '37859612', '37647879', '37545443', '37545398', '37443407', '37443372', '37266730', '37219694', '37209327', '37121999', '37057132', '36982166', '36916093', '36913799', '36700778', '36230956', '36214461', '36102305', '36067654', '35979359', '35910848', '35844517', '35774015', '35709678', '35637949', '35482440', '35365451', '35353620', '35265258', '35264781', '35188436', '35066511', '34952420', '34787054', '34412763', '34246059', '32377745', '31898571', '30001526', '29937272', '26399395']",GPX4,GPX4,2879,glutathione peroxidase 4
OPTN,optineurin,8,"['40485166', '37719362', '35997960', '35971090', '35260039', '29607544', '24655665', '23489441']",OPTN,OPTN,10133,optineurin
CCL5,c c motif chemokine ligand 5,42,"['40411297', '40139445', '40111648', '39800248', '39418726', '39068155', '38035076', '37864923', '36389695', '36199375', '35811678', '35184762', '34659202', '31583025', '30365644', '30365067', '30195817', '29891542', '29681903', '29426701', '27058048', '27736938', '27454382', '26293782', '26037291', '26005191', '25557485', '24802890', '23872051', '22981705', '22427642', '21469130', '21097507', '18931326', '18250418', '18246602', '17911638', '17334537', '16844401', '15828087', '15557190', '15122175']",CCL5,CCL5,6352,C-C motif chemokine ligand 5
PTPRC,protein tyrosine phosphatase receptor type c,2,"['39854144', '33398185']",PTPRC,PTPRC,5788,protein tyrosine phosphatase receptor type C
TRAF6,tnf receptor associated factor 6,72,"['40108019', '39278847', '38673868', '38043934', '38039751', '38010029', '37441604', '37425491', '37332010', '37288729', '37248197', '37139806', '36749634', '36401163', '36303116', '36232563', '36068919', '35921773', '34749364', '34183367', '33258196', '32975614', '32820146', '32738283', '32724027', '32556678', '32507857', '32076015', '32024978', '30734878', '30392071', '30224945', '30154914', '30022762', '29794022', '29733298', '29273889', '28691814', '28288804', '28056977', '27683819', '27586056', '27468689', '26906634', '26474655', '26440613', '26423026', '26414765', '26048146', '25642822', '25622654', '25483963', '25269519', '25261473', '24879442', '24701036', '24084649', '24012418', '23674823', '22901274', '22720096', '22637723', '21725320', '21460221', '21347238', '20584979', '19027002', '18786322', '18070149', '15864310', '15665823', '15334086']",TRAF6,TRAF6,7189,TNF receptor associated factor 6
IFIH1,interferon induced with helicase c domain 1,4,"['38889486', '36462334', '34348482', '25579795']",IFIH1,IFIH1,64135,interferon induced with helicase C domain 1
RAC2,rac family small gtpase 2,7,"['40376837', '38665923', '33432150', '33309799', '26414765', '17903178', '15201699']",RAC2,RAC2,5880,Rac family small GTPase 2
TLR8,toll like receptor 8,11,"['40021981', '38461810', '34668104', '32575108', '29448955', '25476907', '21303985', '19461969', '18665047', '18356597', '17548602']",TLR8,TLR8,51311,toll like receptor 8
GABRB1,gamma aminobutyric acid,0,[],GABRB1,GABRB1,2560,gamma-aminobutyric acid type A receptor subunit beta1
GABRA4,gamma aminobutyric acid,0,[],GABRA4,GABRA4,2557,gamma-aminobutyric acid type A receptor subunit alpha4
HLA-C,major histocompatibility complex class i c,15,"['36341392', '35313059', '33815410', '33165540', '31939781', '29445759', '25636579', '25477316', '22333575', '21221475', '19880352', '18434400', '18301071', '18289678', '16095500']",HLA-C,HLA-C,3107,"major histocompatibility complex, class I, C"
HLA-DPB1,major histocompatibility complex class ii dp beta 1,4,"['40325173', '37017187', '35831411', '33939725']",HLA-DPB1,HLA-DPB1,3115,"major histocompatibility complex, class II, DP beta 1"
MIR122,microrna 122,14,"['35960478', '35293311', '34956235', '31926500', '30355788', '29782519', '27434572', '26889043', '25672224', '25039534', '24421215', '23026916', '22719975', '19965718']",MIR122,MIR122,406906,microRNA 122
GABRA6,gamma aminobutyric acid,0,[],GABRA6,GABRA6,2559,gamma-aminobutyric acid type A receptor subunit alpha6
SFTPB,surfactant protein b,2,"['31851120', '15190959']",SFTPB,SFTPB,6439,surfactant protein B
