gene_symbol,DisGeNET,CTD,OpenTarget,Monarch,Sepon,IPA,sources,EvaluationSet
ADM,DisGeNET,CTD,,,Sepon,IPA,"DisGeNET,CTD,,,Sepon,IPA",gold
ADORA2A,DisGeNET,CTD,OpenTarget,,,IPA,"DisGeNET,CTD,OpenTarget,,,IPA",gold
ADORA2B,DisGeNET,CTD,OpenTarget,,,,"DisGeNET,CTD,OpenTarget",gold
ANGPT1,DisGeNET,CTD,,,Sepon,,"DisGeNET,CTD,,,Sepon",gold
CASP3,DisGeNET,CTD,,,,IPA,"DisGeNET,CTD,,,,IPA",gold
CSF3,DisGeNET,CTD,,,Sepon,,"DisGeNET,CTD,,,Sepon",gold
CXCR2,DisGeNET,CTD,,,,,"DisGeNET,CTD",gold
HMGB1,DisGeNET,CTD,,,,IPA,"DisGeNET,CTD,,,,IPA",gold
IFNG,DisGeNET,CTD,,,,IPA,"DisGeNET,CTD,,,,IPA",gold
IL10,DisGeNET,CTD,,,Sepon,IPA,"DisGeNET,CTD,,,Sepon,IPA",gold
IL1B,DisGeNET,CTD,,,Sepon,IPA,"DisGeNET,CTD,,,Sepon,IPA",gold
IL6,DisGeNET,CTD,,,Sepon,,"DisGeNET,CTD,,,Sepon",gold
LBP,DisGeNET,CTD,,,Sepon,,"DisGeNET,CTD,,,Sepon",gold
LTA,DisGeNET,CTD,,,,,"DisGeNET,CTD",gold
MAPK1,DisGeNET,CTD,,,,,"DisGeNET,CTD",gold
MAPK3,DisGeNET,CTD,,,,,"DisGeNET,CTD",gold
MIF,DisGeNET,CTD,,,Sepon,IPA,"DisGeNET,CTD,,,Sepon,IPA",gold
MMP9,DisGeNET,CTD,,,,IPA,"DisGeNET,CTD,,,,IPA",gold
MT1A,DisGeNET,,,,,,DisGeNET,gold
MT2A,DisGeNET,,,,,IPA,"DisGeNET,,,,,IPA",gold
NOS2,DisGeNET,CTD,,,,,"DisGeNET,CTD",gold
NOS3,DisGeNET,CTD,,,,,"DisGeNET,CTD",gold
PROC,DisGeNET,CTD,,,Sepon,,"DisGeNET,CTD,,,Sepon",gold
RPL4,DisGeNET,CTD,,,,,"DisGeNET,CTD",gold
RPL9,DisGeNET,CTD,,,,,"DisGeNET,CTD",gold
TGFB1,DisGeNET,CTD,,,Sepon,,"DisGeNET,CTD,,,Sepon",gold
TGFBI,DisGeNET,CTD,,,,,"DisGeNET,CTD",gold
TLR4,DisGeNET,CTD,OpenTarget,,,IPA,"DisGeNET,CTD,OpenTarget,,,IPA",gold
TNF,DisGeNET,CTD,,,Sepon,IPA,"DisGeNET,CTD,,,Sepon,IPA",gold
TOP2A,DisGeNET,CTD,,,,,"DisGeNET,CTD",gold
TREM1,DisGeNET,,,,Sepon,IPA,"DisGeNET,,,,Sepon,IPA",gold
XIAP,DisGeNET,,,,,,DisGeNET,gold
A2M,,,,,Sepon,,Sepon,Inferred
ABCA12,,,,Monarch,,,Monarch,Inferred
ABCA3,,,,Monarch,,,Monarch,Inferred
ABCB1B,,CTD,,,,,CTD,gold
ABCD1,,,,Monarch,,,Monarch,Inferred
ACLY,,,,,Sepon,,Sepon,Inferred
ACOT9,,,,,,IPA,IPA,Inferred
ACTB,,,,,,IPA,IPA,Inferred
ACTG2,,,,Monarch,,,Monarch,Inferred
ACTR2,,,,,,IPA,IPA,Inferred
ADA,,,,Monarch,,,Monarch,Inferred
ADAM17,,,,,,IPA,IPA,Inferred
ADRA1A,,,OpenTarget,,,,OpenTarget,Inferred
ADRA1B,,,OpenTarget,,,,OpenTarget,Inferred
ADRA1D,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
ADRA2A,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
ADRA2B,,,OpenTarget,,,,OpenTarget,Inferred
ADRA2C,,,OpenTarget,,,,OpenTarget,Inferred
ADRB1,,,OpenTarget,,,,OpenTarget,Inferred
ADRB2,,,OpenTarget,,,IPA,"OpenTarget,,,IPA",Inferred
ADRB3,,,OpenTarget,,,,OpenTarget,Inferred
AGER,,,,,,IPA,IPA,Inferred
AGTR1,,,OpenTarget,,,,OpenTarget,Inferred
AHR,,,,,,IPA,IPA,Inferred
AIM2,,,,,,IPA,IPA,Inferred
AIRE,,,,Monarch,,,Monarch,Inferred
AK2,,,,Monarch,,,Monarch,Inferred
AKT1,,,,,,IPA,IPA,Inferred
ALDH1A1,,,,,,IPA,IPA,Inferred
ALG1,,,,Monarch,,,Monarch,Inferred
ALG12,,,,Monarch,,,Monarch,Inferred
ALOX12B,,,,Monarch,,,Monarch,Inferred
ALOX5,,CTD,,,,IPA,"CTD,,,,IPA",gold
ALOXE3,,,,Monarch,,,Monarch,Inferred
ALPL,,,,,,IPA,IPA,Inferred
AMY2A,,,,,,IPA,IPA,Inferred
AMY2B,,,,,,IPA,IPA,Inferred
ANGPT2,,,,,Sepon,,Sepon,Inferred
ANKRD22,,,,,,IPA,IPA,Inferred
ANP32A,,,,,,IPA,IPA,Inferred
ANXA1,,,,,,IPA,IPA,Inferred
ANXA3,,,,,,IPA,IPA,Inferred
AP1S3,,,,Monarch,,,Monarch,Inferred
APBA3,,,,,,IPA,IPA,Inferred
APC,,,,Monarch,,,Monarch,Inferred
APLN,,,,,Sepon,,Sepon,Inferred
APOA1,,,,,Sepon,,Sepon,Inferred
APOA5,,,,,Sepon,,Sepon,Inferred
APOB,,,,,Sepon,,Sepon,Inferred
APOM,,,,,Sepon,,Sepon,Inferred
AQP1,,CTD,,,,,CTD,gold
ARFIP1,,,,,,IPA,IPA,Inferred
ARG1,,,,,,IPA,IPA,Inferred
ARHGAP17,,,,,,IPA,IPA,Inferred
ARHGAP26,,,,,,IPA,IPA,Inferred
ARID5A,,,,,,IPA,IPA,Inferred
ARRB2,,,,,,IPA,IPA,Inferred
ASAH1,,,,,,IPA,IPA,Inferred
ASPRV1,,,,Monarch,,,Monarch,Inferred
ATG7,,,,,,IPA,IPA,Inferred
ATIC,,,,,,IPA,IPA,Inferred
ATM,,,,,,IPA,IPA,Inferred
ATP11B,,,,,,IPA,IPA,Inferred
ATP1B1,,,,,,IPA,IPA,Inferred
ATP5F1A,,CTD,,,,,CTD,gold
ATP6V0E2,,,,,,IPA,IPA,Inferred
ATP6V1C1,,,,,,IPA,IPA,Inferred
ATP7A,,,,Monarch,,,Monarch,Inferred
ATP8B4,,,,,,IPA,IPA,Inferred
ATXN1,,,,,,IPA,IPA,Inferred
AVP,,,,,Sepon,IPA,"Sepon,IPA",Inferred
AVPR1A,,,OpenTarget,,,,OpenTarget,Inferred
AVPR1B,,,OpenTarget,,,,OpenTarget,Inferred
AVPR2,,,OpenTarget,,,,OpenTarget,Inferred
AZI2,,,,,,IPA,IPA,Inferred
AZU1,,,,,Sepon,,Sepon,Inferred
B2M,,,,,,IPA,IPA,Inferred
BAIAP2,,,,,,IPA,IPA,Inferred
BAK1,,,,,,IPA,IPA,Inferred
BATF,,,,,,IPA,IPA,Inferred
BAX,,,,,,IPA,IPA,Inferred
BCAT1,,,,,,IPA,IPA,Inferred
BCHE,,,,,Sepon,,Sepon,Inferred
BCL10,,,,,,IPA,IPA,Inferred
BCL2,,,,,,IPA,IPA,Inferred
BCL2L1,,,,,Sepon,IPA,"Sepon,IPA",Inferred
BCL2L10,,,,,Sepon,,Sepon,Inferred
BCL6,,,,,,IPA,IPA,Inferred
BCL9L,,,,,,IPA,IPA,Inferred
BID,,,,,,IPA,IPA,Inferred
BIN1,,,,,,IPA,IPA,Inferred
BIRC3,,,,,,IPA,IPA,Inferred
BLNK,,,,Monarch,,,Monarch,Inferred
BST1,,,,,,IPA,IPA,Inferred
BTK,,,,Monarch,,,Monarch,Inferred
BTLA,,,,,,IPA,IPA,Inferred
C1QB,,,,Monarch,,IPA,"Monarch,,IPA",Inferred
