gene_symbol,DisGeNET,CTD,OpenTarget,Monarch,Sepon,sources
APLN,,,,,Sepon,Sepon
RPL9,DisGeNET,CTD,,,,"DisGeNET,CTD"
IL27,,,,,Sepon,Sepon
EXTL3,,,,Monarch,,Monarch
PROC,DisGeNET,CTD,,,Sepon,"DisGeNET,CTD,,,Sepon"
MT-ND6,,,OpenTarget,,,OpenTarget
CTCF,,,,Monarch,,Monarch
KCNQ1OT1,,,,,Sepon,Sepon
MIR451A,,,,,Sepon,Sepon
TREM1,DisGeNET,,,,Sepon,"DisGeNET,,,,Sepon"
PDE1B,,,OpenTarget,,,OpenTarget
MCEMP1,,,,,Sepon,Sepon
SMO,,,,Monarch,,Monarch
CCL2,,,,,Sepon,Sepon
IL2RG,,,,Monarch,,Monarch
THBD,,,,,Sepon,Sepon
MIR21,,,,,Sepon,Sepon
IL15,,,,,Sepon,Sepon
WFDC2,,,,,Sepon,Sepon
IGHG2,,,,Monarch,,Monarch
DCLRE1C,,,,Monarch,,Monarch
NFKB2,,,,Monarch,,Monarch
MPO,,,,,Sepon,Sepon
MIR378A,,,,,Sepon,Sepon
NDUFA11,,,OpenTarget,,,OpenTarget
MYD88,,,,Monarch,,Monarch
MYLK,,,,Monarch,,Monarch
MFGE8,,,,,Sepon,Sepon
ALG1,,,,Monarch,,Monarch
MIR150,,,,,Sepon,Sepon
ADRB2,,,OpenTarget,,,OpenTarget
MMUT,,,,Monarch,,Monarch
IL12B,,,,,Sepon,Sepon
TREX1,,,,Monarch,,Monarch
MIR483,,CTD,,,Sepon,"CTD,,,Sepon"
SEMA3C,,,,Monarch,,Monarch
RMRP,,,,Monarch,,Monarch
MIR129-1,,,,,Sepon,Sepon
XDH,,,,,Sepon,Sepon
TNFSF12,,,,,Sepon,Sepon
ACTG2,,,,Monarch,,Monarch
CYBB,,,,Monarch,,Monarch
SDC1,,,,,Sepon,Sepon
TLR4,DisGeNET,CTD,OpenTarget,,,"DisGeNET,CTD,OpenTarget"
GALT,,,,Monarch,,Monarch
SMARCD2,,,,Monarch,,Monarch
PTGS1,,,OpenTarget,,,OpenTarget
SCUBE1,,,,,Sepon,Sepon
SBDS,,,,Monarch,,Monarch
GRIN3A,,,OpenTarget,,,OpenTarget
AQP1,,CTD,,,,CTD
HSPD1,,CTD,,,,CTD
CD163,,,,,Sepon,Sepon
ADRA1D,,,OpenTarget,,,OpenTarget
TCF3,,,,Monarch,,Monarch
PDE5A,,,OpenTarget,,,OpenTarget
FLVCR1,,,,,Sepon,Sepon
NDUFB2,,,OpenTarget,,,OpenTarget
WAS,,,,Monarch,,Monarch
GJB6,,,,Monarch,,Monarch
SERPINE1,,,,,Sepon,Sepon
PEX19,,,,Monarch,,Monarch
MIR495,,,,,Sepon,Sepon
BCL2L1,,,,,Sepon,Sepon
NDUFA3,,,OpenTarget,,,OpenTarget
NDUFB6,,,OpenTarget,,,OpenTarget
CTLA4,,,,Monarch,,Monarch
GABRB3,,,OpenTarget,,,OpenTarget
ABCD1,,,,Monarch,,Monarch
KLRK1,,,,,Sepon,Sepon
CXCL10,,,,,Sepon,Sepon
KLF1,,,,,Sepon,Sepon
PDE7B,,,OpenTarget,,,OpenTarget
CXCL16,,,,,Sepon,Sepon
