ID,Aggregate number,Module title,Member genes
M3.1,A29,Cell cycle,"ALPP, ALS2CR14, ANKRD30B, ARL16, BCYRN1, BLZF1, BLZF1, C11ORF63, C1ORF176, C5ORF28, C6ORF170, C8ORF45, C9ORF130, CCBE1, CEP27, CSF2RA, CYCSL1, DCLRE1C, DDX51, DENR, DMC1, DTWD2, DUXAP3, EIF2AK4, EVI5, FAM40B, FAM73A, FLJ38717, FLJ40722, FLJ44124, GALNT3, GPR1, GSTTP2, HNRNPU, HS.163752, HS.542993, HS.562875, HS.571741, HS.576072, HSPC268, HYPK, ICA1, IL10, IL17RD, KIAA1751, LEP, LMOD3, LOC123688, LOC440157, LOC643882, LOC644250, LOC644852, LOC648852, LOC653829, LSDP5, MAGT1, MBTD1, MCART1, MCM8, MYO3B, N4BP2, NLRP8, NUBPL, OCIAD1, PCDHB19P, PCDHB9, PIP5K2B, PLA2G2D, PLDN, POLR2J4, PPA2, PPM1K, PRO1853, PTP4A2, PTP4A2, PTPLAD2, RAXL1, RHBDL2, RNUXA, SLC25A20, SLC35E1, SLC4A5, SLC5A8, SNAPC1, SPTLC1, SSTR2, SYAP1, TDP1, TDRD1, TDRD1, TNFSF15, TRIM13, USP49, VPS41, WDR74, XRCC2, YRDC, ZADH1, ZNF14, ZNF223, ZNF483, ZNF486, ZNF557, ZNF577, ZNF652, ZNF669, ZNF682, ZNF69, ZNF786"
M8.1,A29,TBD,"AHR, AIRE, BIRC3, C14ORF85, C21ORF24, C21ORF55, C3ORF34, C8ORF37, C9ORF80, CDAN1, CDKN2AIPNL, CREB1, CREB1, EID2B, FAM115A, FAM119A, FCAR, FKTN, FLJ46309, GJC1, GRIPAP1, HCG2P7, IL18, KCNH6, LILRB1, LOC399900, LOC440704, LOC441087, LOC642947, LOC645895, LOC647389, LOC653086, LOC653489, LOC729603, LOC90586, LRAP, MBD4, MGC29891, PDE4C, PNPT1, RCP9, RPL7L1, SDHALP1, SHROOM4, SLC16A12, SLC44A4, SULT1A1, TMEM17, ZMAT3, ZNF394, ZNF430, ZNF549"
M8.2,A34,Prostanoids,"ABCC3, ABLIM3, ALOX12, AQP10, C6ORF21, C7ORF41, CALD1, CMTM5, CTDSPL, CTTN, ESAM, F13A1, GNG11, GP9, GUCY1A3, HS.552264, ITGA2B, ITGB3, ITGB5, ITGB5, JAM3, MPL, MYL9, NRGN, PARVB, PDE5A, PPBP, PROS1, PTGS1, PVALB, SEPT5, SH3BGRL2, TNFSF4, TREML1, TSPAN33, TSPAN9, VWF"
M8.3,A28,Type 1 Interferon,"EPSTI1, HERC5, HES4, IFI44, IFI44L, IFI6, IFIT1, IFIT3, IFIT3, IFIT3, ISG15, LY6E, MX1, OAS1, OAS1, OAS2, OAS3, OASL, RSAD2, XAF1, XAF1"
M9.1,A2,Cytotoxic lymphocytes,"CCL4L2, CD160, CLIC3, EDG8, EOMES, FGFBP2, GNLY, GNLY, GPR56, GPR56, GZMA, GZMB, GZMH, HOPX, IL2RB, KIR2DL3, KIR2DL4, KIR3DL1, KLRC1, KLRC3, KLRD1, KLRD1, KLRF1, KLRF1, NKG7, PLEKHF1, PPP2R2B, PRF1, PTGDR, SH2D1B, TGFBR3, ZNF683"
M9.2,A37,Erythrocytes,"MARCH8, ALAS2, ALAS2, BCL2L1, BPGM, C14ORF45, C1ORF128, CA1, EPB42, FAM46C, FECH, GMPR, GPR146, GYPB, GYPE, IFIT1L, KRT1, NFIX, OR2W3, OSBP2, PLEK2, SELENBP1, SLC14A1, SLC4A1, SNCA, TMCC2, TMOD1, TNS1, TRIM10, TUBB2A, XK"
M10.1,A28,Interferon,"DDX58, DDX60, DHX58, FBXO6, GBP1, GBP1, GBP4, GBP5, IFI35, IFIH1, IFIT2, IFIT5, IRF7, IRF7, LAP3, OAS2, PARP12, PARP14, SAMD9L, SCO2, STAT1, STAT1, STAT1, TRIM22, ZBP1"
M10.2,A9,Protein synthesis,"C19ORF31, CLUAP1, EEF1A1, F2R, FTL, H3F3A, HBA2, HBB, IMAA, LAIR1, LOC388720, OAZ1, RPL41, RPS12, RPS27, TMSB4X, TPT1, UBA52, UBB"
M10.3,A34,Platelet,"ACRBP, BMP6, CDC14B, CLDN5, CLEC1B, DAB2, FHL1, GP1BA, GRAP2, HS.25318, MMD, NAT8B, PGRMC1, PTCRA, RUFY1, RUFY1, SDPR, TSC22D1, TSC22D1, TUBB1, VCL, ZNF185"
M10.4,A38,Neutrophil activation,"BPI, CEACAM6, CEACAM8, CTSG, DEFA1, DEFA3, DEFA4, ELA2, LOC653600, LOC728358, LOC728358, LOC728358, LTF, MPO, OLFM4"
